01.11.2019,,,,,,,,,,,,,
Modellnavn,Type,Dører,Seter,Syl./Volum,Effekt (hk/kW),Drivhjul,Gir,Lengde (mm),Egenvekt (kg),Forbruk (l/100 km),CO₂ (g/km),NOx (mg/km),Pris (NOK)
RAV4 Hybrid 2WD Life aut BE,SUV,5,5,4/2487,218/160,F,0A,4600,1590,"5,6",129,"2,1",387400
RAV4 Hybrid 2WD Active aut BE,SUV,5,5,4/2487,218/160,F,0A,4600,1590,"5,5",128,"2,1",418200
RAV4 Hybrid AWD-i Life aut BE,SUV,5,5,4/2487,222/163,A,0A,4600,1645,"5,5",128,"2,1",428200
RAV4 Hybrid 2WD Style aut BE,SUV,5,5,4/2487,218/160,F,0A,4600,1590,"5,6",131,"2,1",448500
RAV4 Hybrid AWD-i Active aut BE,SUV,5,5,4/2487,222/163,A,0A,4600,1645,"5,6",130,"2,1",459000
RAV4 Hybrid 2WD Executive aut BE,SUV,5,5,4/2487,218/160,F,0A,4600,1605,"5,4",126,"2,1",486300
RAV4 Hybrid AWD-i Style aut BE,SUV,5,5,4/2487,222/163,A,0A,4600,1645,"5,4",126,"2,1",489200
RAV4 Hybrid AWD-i Executive aut BE,SUV,5,5,4/2487,222/163,A,0A,4600,1660,"5,4",126,"2,1",527100
,,,,,,,,,,,,,
01.11.2020,,,,,,,,,,,,,
Modellnavn,Type,Dører,Seter,Syl./Volum,Effekt (hk/kW),Drivhjul,Gir,Lengde (mm),Egenvekt (kg),Forbruk (l/100 km),CO₂ (g/km),NOx (mg/km),Pris (NOK)
RAV4 Hybrid 2WD Life aut BE,SUV,5,5,4/2487,218/160,F,0A,4600,1590,"5,6",126,3,413700
RAV4 Hybrid 2WD Active aut BE,SUV,5,5,4/2487,218/160,F,0A,4600,1590,"5,6",126,3,444500
RAV4 Hybrid AWD-i Life aut BE,SUV,5,5,4/2487,222/163,A,0A,4600,1650,"5,6",128,"2,8",458600
RAV4 Hybrid 2WD Style aut BE,SUV,5,5,4/2487,218/160,F,0A,4600,1590,"5,6",128,3,483300
RAV4 Hybrid AWD-i Active aut BE,SUV,5,5,4/2487,222/163,A,0A,4600,1645,"5,6",128,"2,8",489400
RAV4 Hybrid 2WD Black Edition aut BE,SUV,5,5,4/2487,218/160,F,0A,4600,1590,"5,6",128,3,516500
RAV4 Hybrid 2WD Executive aut BE,SUV,5,5,4/2487,218/160,F,0A,4600,1605,"5,7",129,3,517700
RAV4 Hybrid AWD-i Style aut BE,SUV,5,5,4/2487,222/163,A,0A,4600,1645,"5,7",130,"2,8",530100
RAV4 Hybrid AWD-i Black Edition aut BE,SUV,5,5,4/2487,222/163,A,0A,4600,1645,"5,7",130,"2,8",563400
RAV4 Hybrid AWD-i Executive aut BE,SUV,5,5,4/2487,222/163,A,0A,4600,1655,"5,8",131,"2,8",563600
RAV4 PHEV AWD-i Life aut BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1895,1,22,"4,2",497700
RAV4 PHEV AWD-i Active aut BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1895,1,22,"4,2",514700
RAV4 PHEV AWD-i Active Tech aut BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1895,1,22,"4,2",530600
RAV4 PHEV AWD-i Executive aut BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1895,1,22,"4,2",580100
,,,,,,,,,,,,,
01.11.2021,,,,,,,,,,,,,
Modellnavn,Type,Dører,Seter,Syl./Volum,Effekt (hk/kW),Drivhjul,Gir,Lengde (mm),Egenvekt (kg),Forbruk (l/100 km),CO₂ (g/km),NOx (mg/km),Pris (NOK)
RAV4 Hybrid 2WD Life BE,SUV,5,5,4/2487,218/160,F,0A,4600,1590,"5,6",126,"3,7",417300
RAV4 Hybrid 2WD Active BE,SUV,5,5,4/2487,218/160,F,0A,4600,1590,"5,6",126,"3,7",448100
RAV4 Hybrid AWD-i Life BE,SUV,5,5,4/2487,222/163,A,0A,4600,1650,"5,6",128,"2,9",462800
RAV4 Hybrid 2WD Style BE,SUV,5,5,4/2487,218/160,F,0A,4600,1590,"5,6",128,"3,7",487000
RAV4 Hybrid AWD-i Active BE,SUV,5,5,4/2487,222/163,A,0A,4600,1645,"5,6",128,"2,9",493500
RAV4 Hybrid 2WD Black Edition BE,SUV,5,5,4/2487,218/160,F,0A,4600,1590,"5,8",132,"3,7",520300
RAV4 Hybrid 2WD Executive BE,SUV,5,5,4/2487,218/160,F,0A,4600,1605,"5,8",131,"3,7",521600
RAV4 Hybrid AWD-i Style BE,SUV,5,5,4/2487,222/163,A,0A,4600,1645,"5,7",130,"2,9",534300
RAV4 Hybrid AWD-i Black Edition BE,SUV,5,5,4/2487,222/163,A,0A,4600,1645,"5,9",134,"2,9",567700
RAV4 Hybrid AWD-i Executive BE,SUV,5,5,4/2487,222/163,A,0A,4600,1655,"5,8",133,"2,9",568000
RAV4 PHEV AWD-i Life BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1895,1,22,"4,2",503500
RAV4 PHEV AWD-i Active BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1895,1,22,"4,2",520500
RAV4 PHEV AWD-i Active Tech BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1895,1,22,"4,2",536400
RAV4 PHEV AWD-i Style BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1895,1,22,"4,2",563300
RAV4 PHEV AWD-i Executive BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1895,1,22,"4,2",586900
,,,,,,,,,,,,,
01.11.2022,,,,,,,,,,,,,
Modellnavn,Type,Dører,Seter,Syl./Volum,Effekt (hk/kW),Drivhjul,Gir,Lengde (mm),Egenvekt (kg),Forbruk (l/100 km),CO₂ (g/km),NOx (mg/km),Pris (NOK)
RAV4 Hybrid 2WD Active BE,SUV,5,5,4/2487,218/160,F,0A,4600,1590,"5,6",129,"4,4",511500
RAV4 Hybrid AWD-i Active BE,SUV,5,5,4/2487,222/163,A,0A,4600,1645,"5,6",130,"4,4",557700
RAV4 Hybrid AWD-i Style BE,SUV,5,5,4/2487,222/163,A,0A,4600,1655,"5,7",131,"4,4",599600
RAV4 Hybrid AWD-i Executive BE,SUV,5,5,4/2487,222/163,A,0A,4600,1660,"5,8",131,"4,4",630300
RAV4 PHEV AWD-i Life BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",602900
RAV4 PHEV AWD-i Active BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",611800
RAV4 PHEV AWD-i Active Tech BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",627700
RAV4 PHEV AWD-i Style BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",658900
RAV4 PHEV AWD-i GR Sport BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",665500
RAV4 PHEV AWD-i Executive BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",685500
RAV4 PHEV AWD-i GR Sport Panorama BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",687800
RAV4 PHEV AWD-i Executive Panorama BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",698800
,,,,,,,,,,,,,
01.11.2023,,,,,,,,,,,,,
Modellnavn,Type,Dører,Seter,Syl./Volum,Effekt (hk/kW),Drivhjul,Gir,Lengde (mm),Egenvekt (kg),Forbruk (l/100 km),CO₂ (g/km),NOx (mg/km),Pris (NOK)
RAV4 PHEV AWD-i Life BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",663300
RAV4 PHEV AWD-i Active BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",672200
RAV4 PHEV AWD-i Active Tech BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",688100
RAV4 PHEV AWD-i Style BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",719900
RAV4 PHEV AWD-i GR Sport BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",726000
RAV4 PHEV AWD-i Executive BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",746500
RAV4 PHEV AWD-i GR Sport Panorama BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",748800
RAV4 PHEV AWD-i Executive Panorama BEL,SUV,5,5,4/2487,306/225,A,0A,4600,1910,1,22,"4,2",759800
,,,,,,,,,,,,,
01.11.2024,,,,,,,,,,,,,
Modellnavn,Type,Dører,Seter,Syl./Volum,Effekt (hk/kW),Drivhjul,Gir,Lengde (mm),Egenvekt (kg),Forbruk (l/100 km),CO₂ (g/km),NOx (mg/km),Pris (NOK)
RAV4 Hybrid AWD-i Style BE,SUV,5,5,4/2487,218/160*,Alle,0A,4600,1655,"5,7",131,"2,5",682600
RAV4 Hybrid AWD-i Executive BE,SUV,5,5,4/2487,222/163,Alle,0A,4600,1660,"5,7",131,"1,7",701600
RAV4 PHEV AWD-i Active BEL,SUV,5,5,4/2487,306/225,Alle,0A,4600,1910,1,22,"4,2",681500
RAV4 PHEV AWD-i Active Tech BEL,SUV,5,5,4/2487,306/225,Alle,0A,4600,1910,1,22,"4,2",697400
RAV4 PHEV AWD-i Style BEL,SUV,5,5,4/2487,306/225,Alle,0A,4600,1930,1,22,"4,2",729800
RAV4 PHEV AWD-i GR Sport BEL,SUV,5,5,4/2487,306/225,Alle,0A,4600,1930,1,22,"4,2",735900
RAV4 PHEV AWD-i Executive BEL,SUV,5,5,4/2487,306/225,Alle,0A,4600,1930,1,22,"4,2",756400
RAV4 PHEV AWD-i GR Sport Panorama BEL,SUV,5,5,4/2487,306/225,Alle,0A,4600,1930,1,22,"4,2",758700
RAV4 PHEV AWD-i Executive Panorama BEL,SUV,5,5,4/2487,306/225,Alle,0A,4600,1930,1,22,"4,2",769700
